x: -0.01677225582264926, y: 0.0009827836497149532, z: 0.2593399309523603
X-Angle: 3.1365823686195, Y-Angle: 0.02331344454999126, Z-Angle: 0.010497604724043666
x: -0.015753182626523064, y: 0.0010093205343230302, z: 0.2590553949490547
X-Angle: 3.1395238780336294, Y-Angle: 0.027726848766988766, Z-Angle: 0.009952927823606576
x: -0.01590525967333691, y: 0.0010700770166470613, z: 0.2594319140449661
X-Angle: 3.1354078196436324, Y-Angle: 0.023886314420611458, Z-Angle: 0.008783343121727417
x: -0.017857995171509582, y: -1.6413333954223874e-05, z: 0.2602683574897922
X-Angle: 3.1353856440213566, Y-Angle: 0.02059447050444974, Z-Angle: 0.011657858476467442
x: -0.018166002309373114, y: -0.0020497462340197826, z: 0.2607646560269571
X-Angle: 3.1384531253557313, Y-Angle: 0.010645756585104294, Z-Angle: 0.010436664060924604
x: -0.018050172923490506, y: -0.0031932290909621477, z: 0.25875291152070146
X-Angle: -3.1373036212848087, Y-Angle: 0.01836412102886974, Z-Angle: 0.007754844752508491
x: -0.02021389037971176, y: -0.003912318294653574, z: 0.25901661061685183
X-Angle: -3.1362836997452335, Y-Angle: 0.01785658303741409, Z-Angle: 0.007529962451865834
x: -0.020712481217539172, y: -0.0031760117146955686, z: 0.2589588069197934
X-Angle: -3.136722051658045, Y-Angle: 0.015033983290020104, Z-Angle: 0.0079487432965509
x: -0.021589284303277455, y: -0.0026248163526324066, z: 0.259583593459708
X-Angle: -3.1397421869580002, Y-Angle: 0.01741821895588721, Z-Angle: 0.008790484777884246
x: -0.022039418517817832, y: -0.002755430171576063, z: 0.25960708185794545
X-Angle: 3.141501839003018, Y-Angle: 0.01323971635518386, Z-Angle: 0.013110573069988316
x: -0.021582794163406055, y: -0.0025002978123083086, z: 0.2594148491479195
X-Angle: -3.1396922518863275, Y-Angle: 0.012927157777157541, Z-Angle: 0.01106085161349164
x: -0.020592449742583237, y: -0.0018890498592517193, z: 0.25905822524266403
X-Angle: 3.1411908361533665, Y-Angle: 0.015307364356434379, Z-Angle: 0.010996096140084918
x: -0.020266407909104226, y: -0.002256156986838773, z: 0.2601144267501929
X-Angle: 3.1398330701751207, Y-Angle: 0.011421939733453476, Z-Angle: 0.011582920249407415
x: -0.018451567199045383, y: -0.002625915033896834, z: 0.2584496205932407
X-Angle: -3.1395502844318064, Y-Angle: 0.019435699518925712, Z-Angle: 0.008463153035957035
